rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__l1_ratio,params,split0_test_score,split0_train_score
1,-0.12960629807926544,0.0,-0.06571449793793066,0.0,0.04985499382019043,0.0,0.0009860992431640625,0.0,0.01,0.2,"{'model__alpha': 0.01, 'model__l1_ratio': 0.2}",-0.12960629807926544,-0.06571449793793066
2,-0.13017565279999563,0.0,-0.06418440608346823,0.0,0.036849021911621094,0.0,0.0009739398956298828,0.0,0.01,0.1,"{'model__alpha': 0.01, 'model__l1_ratio': 0.1}",-0.13017565279999563,-0.06418440608346823
3,-0.1305169731686274,0.0,-0.06733371010005368,0.0,0.06567716598510742,0.0,0.0012540817260742188,0.0,0.01,0.30000000000000004,"{'model__alpha': 0.01, 'model__l1_ratio': 0.30000000000000004}",-0.1305169731686274,-0.06733371010005368
4,-0.1306255934088755,0.0,-0.06382775189426873,0.0,0.12134790420532227,0.0,0.0010390281677246094,0.0,0.001,1.0,"{'model__alpha': 0.001, 'model__l1_ratio': 1.0}",-0.1306255934088755,-0.06382775189426873
5,-0.13091459279468562,0.0,-0.06370775145499827,0.0,0.12827014923095703,0.0,0.0009658336639404297,0.0,0.001,0.9,"{'model__alpha': 0.001, 'model__l1_ratio': 0.9}",-0.13091459279468562,-0.06370775145499827
6,-0.1311596317562427,0.0,-0.07222080127718451,0.0,0.023793935775756836,0.0,0.001650094985961914,0.0,0.01,0.6000000000000001,"{'model__alpha': 0.01, 'model__l1_ratio': 0.6000000000000001}",-0.1311596317562427,-0.07222080127718451
7,-0.13117117977401405,0.0,-0.07383039828351909,0.0,0.033093929290771484,0.0,0.0015850067138671875,0.0,0.01,0.7000000000000001,"{'model__alpha': 0.01, 'model__l1_ratio': 0.7000000000000001}",-0.13117117977401405,-0.07383039828351909
8,-0.1311953927683958,0.0,-0.06359925016263336,0.0,0.1173098087310791,0.0,0.0009322166442871094,0.0,0.001,0.8,"{'model__alpha': 0.001, 'model__l1_ratio': 0.8}",-0.1311953927683958,-0.06359925016263336
9,-0.13127138502176394,0.0,-0.07056151454061745,0.0,0.030802011489868164,0.0,0.0014629364013671875,0.0,0.01,0.5,"{'model__alpha': 0.01, 'model__l1_ratio': 0.5}",-0.13127138502176394,-0.07056151454061745
10,-0.13130969671841752,0.0,-0.07558579374798678,0.0,0.031080961227416992,0.0,0.0015521049499511719,0.0,0.01,0.8,"{'model__alpha': 0.01, 'model__l1_ratio': 0.8}",-0.13130969671841752,-0.07558579374798678
11,-0.13141851624495118,0.0,-0.068944021384015,0.0,0.05132126808166504,0.0,0.001013040542602539,0.0,0.01,0.4,"{'model__alpha': 0.01, 'model__l1_ratio': 0.4}",-0.13141851624495118,-0.068944021384015
12,-0.1314462462255712,0.0,-0.0634890794605677,0.0,0.12340497970581055,0.0,0.0009019374847412109,0.0,0.001,0.7000000000000001,"{'model__alpha': 0.001, 'model__l1_ratio': 0.7000000000000001}",-0.1314462462255712,-0.0634890794605677
13,-0.1316051181103825,0.0,-0.07737668147913793,0.0,0.033399105072021484,0.0,0.0014410018920898438,0.0,0.01,0.9,"{'model__alpha': 0.01, 'model__l1_ratio': 0.9}",-0.1316051181103825,-0.07737668147913793
